[0/501] 0초 0/100 pos:0m, v:0m/s, Ek:0.0, p:0N
[161/501] 1초 61/100 pos:7.367999999999989m, v:-2.2000000000000184m/s, Ek:2.4200000000000403, p:-2.2000000000000184N
[162/501] 1초 62/100 pos:7.343999999999989m, v:-2.4000000000000186m/s, Ek:2.8800000000000447, p:-2.4000000000000186N
[163/501] 1초 63/100 pos:7.317999999999989m, v:-2.6000000000000187m/s, Ek:3.3800000000000487, p:-2.6000000000000187N
[164/501] 1초 64/100 pos:7.2899999999999885m, v:-2.800000000000019m/s, Ek:3.9200000000000528, p:-2.800000000000019N
[165/501] 1초 65/100 pos:7.259999999999988m, v:-3.000000000000019m/s, Ek:4.500000000000058, p:-3.000000000000019N
[166/501] 1초 66/100 pos:7.227999999999988m, v:-3.2000000000000193m/s, Ek:5.120000000000061, p:-3.2000000000000193N
[167/501] 1초 67/100 pos:7.193999999999988m, v:-3.4000000000000195m/s, Ek:5.780000000000066, p:-3.4000000000000195N
[168/501] 1초 68/100 pos:7.157999999999988m, v:-3.6000000000000196m/s, Ek:6.480000000000071, p:-3.6000000000000196N
[169/501] 1초 69/100 pos:7.119999999999988m, v:-3.80000000000002m/s, Ek:7.220000000000075, p:-3.80000000000002N
[170/501] 1초 70/100 pos:7.079999999999988m, v:-4.0000000000000195m/s, Ek:8.000000000000078, p:-4.0000000000000195N
[171/501] 1초 71/100 pos:7.037999999999988m, v:-4.20000000000002m/s, Ek:8.820000000000082, p:-4.20000000000002N
[172/501] 1초 72/100 pos:6.993999999999987m, v:-4.40000000000002m/s, Ek:9.680000000000087, p:-4.40000000000002N
[173/501] 1초 73/100 pos:6.947999999999987m, v:-4.60000000000002m/s, Ek:10.580000000000092, p:-4.60000000000002N
[174/501] 1초 74/100 pos:6.899999999999987m, v:-4.80000000000002m/s, Ek:11.520000000000097, p:-4.80000000000002N
[175/501] 1초 75/100 pos:6.849999999999987m, v:-5.00000000000002m/s, Ek:12.500000000000103, p:-5.00000000000002N
[176/501] 1초 76/100 pos:6.797999999999987m, v:-5.200000000000021m/s, Ek:13.520000000000108, p:-5.200000000000021N
[177/501] 1초 77/100 pos:6.7439999999999864m, v:-5.400000000000021m/s, Ek:14.580000000000112, p:-5.400000000000021N
[178/501] 1초 78/100 pos:6.687999999999986m, v:-5.600000000000021m/s, Ek:15.680000000000117, p:-5.600000000000021N
[179/501] 1초 79/100 pos:6.629999999999987m, v:-5.800000000000021m/s, Ek:16.82000000000012, p:-5.800000000000021N
[180/501] 1초 80/100 pos:6.569999999999986m, v:-6.000000000000021m/s, Ek:18.000000000000128, p:-6.000000000000021N
[181/501] 1초 81/100 pos:6.507999999999986m, v:-6.2000000000000215m/s, Ek:19.220000000000134, p:-6.2000000000000215N
[182/501] 1초 82/100 pos:6.443999999999986m, v:-6.400000000000022m/s, Ek:20.48000000000014, p:-6.400000000000022N
[183/501] 1초 83/100 pos:6.377999999999986m, v:-6.600000000000022m/s, Ek:21.780000000000143, p:-6.600000000000022N
